location,year,val
Greece,2017,86.68437391
Switzerland,2017,49.78203819
Cambodia,2017,16.2404192
Iceland,2017,52.68030117
Australia,2017,50.07737415
Nicaragua,2017,5.219440132
Bahamas,2017,14.29402045
Turkey,2017,35.43309036
Ethiopia,2017,1.922736889
Latvia,2017,51.73789213
Georgia,2017,47.78389477
Lao People's Democratic Republic,2017,12.73493592
Indonesia,2017,17.41663081
Barbados,2017,14.55380539
United Arab Emirates,2017,4.833529364
Kenya,2017,2.215153041
Panama,2017,10.32007312
Belize,2017,8.379126861
Lithuania,2017,49.3332328
Tajikistan,2018,6.120386385
Papua New Guinea,2018,9.936730619
Malaysia,2017,15.60358333
Maldives,2018,5.155077431
Russian Federation,2017,38.9559181
Liberia,2018,3.567727998
Kazakhstan,2017,20.41441411
Yemen,2017,4.068243301
Bolivia (Plurinational State of),2017,9.148637272
Trinidad and Tobago,2017,13.29567373
Croatia,2017,80.62351734
Venezuela (Bolivarian Republic of),2017,18.51963295
Argentina,2017,30.40077394
Cuba,2017,58.63181499
Samoa,2018,7.585714129
Kyrgyzstan,2017,8.448796918
Palau,2018,49.56141315
Iraq,2017,9.182852683
Gambia,2017,3.037628828
Equatorial Guinea,2018,5.378746912
Italy,2017,67.82896695
Ecuador,2017,8.113285607
South Africa,2017,15.93632312
Republic of Moldova,2017,29.18542306
Malawi,2017,2.211482396
Chile,2017,21.19994159
Kiribati,2017,11.13957826
Eswatini,2018,8.918855932
Myanmar,2018,18.3085579
Czechia,2017,64.3051176
Lesotho,2017,10.95351669
Dominica,2017,21.55696851
Zimbabwe,2018,6.711848714
Afghanistan,2017,3.82181399
New Zealand,2017,52.43099977
Togo,2017,4.757197247
Rwanda,2018,3.589230397
Poland,2018,77.25793935
North Macedonia,2017,60.88979346
Mongolia,2017,18.02045046
Peru,2017,9.372793428
Luxembourg,2018,51.24009568
Ukraine,2017,43.42447863
Uruguay,2018,50.27284815
Central African Republic,2017,5.395063331
Marshall Islands,2017,16.66002916
Gabon,2018,11.33289536
Sudan,2018,3.663659316
Brunei Darussalam,2018,25.46665584
Ghana,2017,4.287086133
Mauritius,2017,14.84627773
Nauru,2017,14.15289741
Luxembourg,2017,51.19050461
Maldives,2017,5.006687319
Austria,2018,57.52689249
Namibia,2017,4.300669909
Hungary,2017,98.92958103
Solomon Islands,2017,15.13753326
Montenegro,2017,90.12218449
Tajikistan,2017,6.067942476
Portugal,2018,43.78018228
Turkmenistan,2017,7.683869161
Niue,2018,39.27474302
Papua New Guinea,2017,9.703930648
Mozambique,2018,2.921347325
Malta,2018,47.12985513
Dominican Republic,2017,12.68628024
Belgium,2018,75.87254349
Colombia,2018,12.96054756
United States of America,2018,75.63886437
Micronesia (Federated States of),2017,20.10754719
Myanmar,2017,17.75553348
Congo,2017,7.509005469
Paraguay,2017,11.93170487
Guinea-Bissau,2017,4.80364444
Bangladesh,2017,5.55850517
Romania,2017,59.1993048
Seychelles,2018,17.92393014
Guinea,2017,4.449896364
Jordan,2017,7.427979956
Lebanon,2017,27.28153765
Niue,2017,38.97020814
Malta,2017,46.49381686
Mozambique,2017,2.913292185
Netherlands,2018,87.60291075
Tonga,2017,20.58175055
Costa Rica,2018,10.34289054
Democratic Republic of the Congo,2017,4.607376038
Morocco,2017,13.75121161
Palau,2017,47.71025358
Uzbekistan,2017,7.77637215
Sudan,2017,3.58153932
Grenada,2017,14.550227
El Salvador,2018,9.625784143
Samoa,2017,7.507906948
Canada,2018,81.77277999
Rwanda,2017,3.439655439
Spain,2018,63.86556314
China,2018,56.19665063
Bhutan,2017,5.206733746
Benin,2018,3.789687828
Equatorial Guinea,2017,5.29430961
Cook Islands,2018,39.35030752
Vanuatu,2017,13.73891009
Libya,2017,12.67182825
Iran (Islamic Republic of),2018,9.994276529
Cyprus,2018,38.78383142
Serbia,2017,87.88075138
Liberia,2017,3.487424859
Somalia,2017,1.818373509
Palestine,2017,9.882859576
India,2018,6.066131278
Norway,2017,55.29284175
Seychelles,2017,17.26623948
Guatemala,2018,4.785493544
Burundi,2017,2.573702776
Brunei Darussalam,2017,24.48122507
Albania,2017,40.63789559
Finland,2018,55.7964093
Gabon,2017,11.11162435
Jamaica,2018,20.16992395
Burkina Faso,2017,3.814787189
Zimbabwe,2017,6.601697431
Finland,2017,55.53062227
Syrian Arab Republic,2018,9.287968561
Oman,2017,3.330701507
Mali,2017,2.743851629
Denmark,2018,85.1184214
Saint Kitts and Nevis,2017,10.49037984
Nigeria,2018,2.755843242
France,2017,68.389736
Sri Lanka,2017,11.08098862
South Sudan,2017,3.410389933
Saint Lucia,2018,14.68340627
Comoros,2017,4.85305033
Kuwait,2017,4.750666007
Slovakia,2018,56.5148897
Tunisia,2018,20.74286337
United States of America,2017,73.02407095
Algeria,2017,7.272141542
Estonia,2018,55.19840964
Philippines,2018,12.01878986
Netherlands,2017,86.65600538
Portugal,2017,44.06845226
Pakistan,2018,8.130615963
Cook Islands,2017,38.30130856
Fiji,2017,7.657253196
Cambodia,2018,16.81889977
Honduras,2018,13.71131312
Benin,2017,3.79128191
France,2018,67.82065138
Saint Vincent and the Grenadines,2018,11.89323355
Cameroon,2017,5.257258045
United Republic of Tanzania,2017,3.601710423
Suriname,2018,15.53595972
Belgium,2017,76.1421909
Eswatini,2017,8.80655525
Turkey,2018,35.67814768
Republic of Korea,2017,54.83946666
Latvia,2018,52.5158087
Mauritania,2017,5.228514906
Nauru,2018,14.40888132
Germany,2017,74.07729571
San Marino,2017,67.40109262
Djibouti,2017,4.748721069
Iran (Islamic Republic of),2017,9.697279127
Ethiopia,2018,1.971118104
Bahamas,2018,14.76853197
Cabo Verde,2017,10.48652843
Uganda,2017,2.343418273
Spain,2017,64.06647776
United Kingdom,2017,74.24481955
Trinidad and Tobago,2018,13.56028713
Thailand,2017,29.62121982
Iraq,2018,9.502962802
Niger,2017,2.81112097
Singapore,2017,34.45838519
Indonesia,2018,18.00168183
Sierra Leone,2018,4.31564152
Kenya,2018,2.281741971
Gambia,2018,3.039862447
Lebanon,2018,27.38460539
Nicaragua,2018,5.41371954
Mexico,2017,7.965706794
Lao People's Democratic Republic,2018,13.16067125
Georgia,2018,48.29966719
Barbados,2018,15.13385168
Suriname,2017,15.12226754
Croatia,2018,80.22944272
South Sudan,2018,3.418609609
Ghana,2018,4.309929909
North Macedonia,2018,61.48902683
Timor-Leste,2017,11.81015088
Malaysia,2018,15.92628116
Togo,2018,4.84108656
Lesotho,2018,11.02899787
Lithuania,2018,50.17120245
Panama,2018,10.44820158
Poland,2017,76.4206232
United Arab Emirates,2018,5.324237818
Libya,2018,13.16860036
Jordan,2018,7.640263293
Andorra,2017,63.72814841
Kazakhstan,2018,20.96587232
Guinea,2018,4.421819851
Republic of Moldova,2018,29.2458574
Montenegro,2018,90.05932077
Czechia,2018,65.31815292
Democratic People's Republic of Korea,2017,33.32943026
Belize,2018,8.776341551
Namibia,2018,4.378495295
Yemen,2018,4.11564398
Malawi,2018,2.232422159
New Zealand,2018,54.854359
Central African Republic,2018,5.389955967
Kiribati,2018,11.34023185
Colombia,2017,12.58393191
Austria,2017,58.32379986
Kuwait,2018,4.945966522
Democratic People's Republic of Korea,2018,33.90889196
Kyrgyzstan,2018,8.497237864
Hungary,2018,100.4462238
Cuba,2018,60.28676629
Botswana,2017,12.18490714
Angola,2017,5.012483535
Costa Rica,2017,9.844874313
Italy,2018,68.67896725
Marshall Islands,2018,17.16571567
Slovakia,2017,55.93441716
Congo,2018,7.709504968
Mauritius,2018,15.63906975
Japan,2018,89.92464033
Qatar,2018,4.122099981
Slovenia,2018,66.76943881
Uruguay,2017,49.83289115
China,2017,54.02323695
Mongolia,2018,18.7034835
Guyana,2018,7.007187724
India,2017,5.844913105
Armenia,2018,43.49674859
Micronesia (Federated States of),2018,20.74124782
Slovenia,2017,66.15393926
Democratic Republic of the Congo,2018,4.751130805
Bahrain,2018,8.843911954
Canada,2017,78.87880527
Jamaica,2017,19.83314034
Azerbaijan,2017,22.27199178
Guinea-Bissau,2018,4.808180597
Armenia,2017,42.63346446
Cyprus,2017,38.52629998
Belarus,2017,38.67857827
Saudi Arabia,2018,4.204030805
Azerbaijan,2018,22.52246537
Antigua and Barbuda,2018,10.41053063
Sao Tome and Principe,2018,9.028415371
Ireland,2017,48.68639221
Haiti,2018,6.229076134
Eritrea,2018,3.293557295
Egypt,2018,6.0850649
Saint Lucia,2017,14.15317449
Tuvalu,2018,22.00619245
Qatar,2017,3.881025091
Belarus,2018,38.91229059
Israel,2017,27.90525041
Chad,2018,3.83740884
Antigua and Barbuda,2017,10.10378508
Monaco,2018,179.6011955
Nepal,2018,5.617980313
Saudi Arabia,2017,4.09866181
Denmark,2017,85.07681529
Pakistan,2017,8.051112084
Saint Vincent and the Grenadines,2017,11.55196227
Sweden,2018,42.60784616
Nigeria,2017,2.770989678
Senegal,2018,5.649526991
Côte d'Ivoire,2018,4.847714813
Zambia,2018,3.769529608
El Salvador,2017,9.419686261
Viet Nam,2018,25.53946024
Guatemala,2017,4.679866731
Botswana,2018,12.49145124
Philippines,2017,11.72569556
Ireland,2018,49.75215097
Brazil,2017,16.16594251
Bosnia and Herzegovina,2019,73.77616016
Ukraine,2018,45.20646471
Bulgaria,2018,70.09275717
Madagascar,2018,2.490167182
Cook Islands,2019,40.30849756
Uganda,2019,2.447593624
Angola,2018,5.110692055
Sweden,2019,42.47543673
Belarus,2019,40.00896209
Republic of Korea,2019,59.59888793
Egypt,2019,6.18050567
Bahrain,2019,9.753746603
Bahrain,2017,8.067787146
Monaco,2017,179.4880374
Viet Nam,2017,24.57919045
Botswana,2019,12.76070467
Uzbekistan,2018,8.042419319
Eritrea,2019,3.372561418
Fiji,2019,8.023539417
Comoros,2019,4.941032184
Turkmenistan,2018,7.935160323
Greece,2019,89.36578598
Cameroon,2019,5.361245257
Ireland,2019,50.92261025
Grenada,2018,15.20215634
Paraguay,2018,12.16429589
Andorra,2018,65.03370545
Germany,2019,74.72650735
Japan,2017,88.73716831
Timor-Leste,2018,11.85258986
Sri Lanka,2018,11.16224271
Nepal,2017,5.430888159
Tajikistan,2019,6.250063297
Dominican Republic,2018,12.78345961
Cabo Verde,2019,12.5744451
Monaco,2019,179.7519547
Angola,2019,5.197302537
Zambia,2019,3.833857074
Côte d'Ivoire,2019,4.88655663
Haiti,2019,6.291464288
Albania,2019,43.17012451
Chad,2017,3.834956257
Italy,2019,69.19695765
Tunisia,2017,20.15543931
Equatorial Guinea,2019,5.370586139
France,2019,68.06756099
Armenia,2019,44.566983
Singapore,2019,38.14294552
North Macedonia,2019,62.23272332
Sao Tome and Principe,2019,9.220373357
Albania,2018,41.92663077
Nicaragua,2019,5.585364206
Andorra,2019,66.31514673
Bosnia and Herzegovina,2018,72.1982112
Iran (Islamic Republic of),2019,10.32607729
Australia,2018,51.44908933
Norway,2018,55.20107054
Cuba,2019,60.10569798
Mali,2018,2.732976682
Israel,2018,28.43469836
United Arab Emirates,2019,5.861244609
Côte d'Ivoire,2017,4.704238142
Austria,2019,57.39210883
Antigua and Barbuda,2019,10.75516039
Azerbaijan,2019,23.10674653
Guyana,2017,6.878076422
Mongolia,2019,19.55325857
Sierra Leone,2017,4.229629449
United Republic of Tanzania,2018,3.686525434
Bosnia and Herzegovina,2017,70.32309445
Eritrea,2017,3.211370327
Afghanistan,2018,3.850113108
Republic of Moldova,2019,28.94235496
Democratic People's Republic of Korea,2019,34.46837032
Indonesia,2019,18.57620122
Russian Federation,2019,39.65685775
Lithuania,2019,49.93080337
United Kingdom,2019,76.59831883
Bangladesh,2018,5.814318963
Dominican Republic,2019,12.90881354
Gabon,2019,11.52532974
Belize,2019,9.034905011
Egypt,2017,5.976070636
Suriname,2019,15.8143514
Australia,2019,52.08628109
Algeria,2018,7.439557073
Panama,2019,10.75407594
Mexico,2019,8.716462236
Lebanon,2019,27.45216298
Mauritania,2018,5.259760512
Thailand,2018,30.89543211
Bolivia (Plurinational State of),2019,9.554390948
Madagascar,2017,2.430436731
Somalia,2018,1.811545317
San Marino,2019,68.32336269
Peru,2019,9.835656884
Papua New Guinea,2019,10.09542642
Yemen,2019,4.133689735
Estonia,2017,55.69770722
Switzerland,2019,49.78631019
Tuvalu,2019,22.29945661
Ecuador,2019,8.404555865
Republic of Korea,2018,56.89903003
Bulgaria,2019,69.76026551
Peru,2018,9.584296431
Ukraine,2019,45.71203479
Singapore,2018,36.50811207
Bulgaria,2017,70.49207191
Djibouti,2019,5.131035183
Sweden,2017,42.39217057
Uganda,2018,2.408349421
Grenada,2019,15.60454147
Montenegro,2019,90.77350279
Chad,2019,3.808567832
Timor-Leste,2019,11.86047782
Honduras,2017,13.41208334
Guyana,2019,7.178999034
Madagascar,2019,2.538635457
Poland,2019,78.10291639
Viet Nam,2019,26.51144274
Bhutan,2018,5.425757435
United Kingdom,2018,75.9779707
Syrian Arab Republic,2017,9.052865029
Trinidad and Tobago,2019,13.83815594
Iceland,2019,54.33513662
Israel,2019,28.68208146
Argentina,2019,30.71287696
Brazil,2018,16.40650851
Spain,2019,64.15179368
Dominica,2019,22.22647925
Switzerland,2018,49.70515588
Haiti,2017,6.157878495
Bolivia (Plurinational State of),2018,9.370341195
Brunei Darussalam,2019,26.42618678
Fiji,2018,7.843996615
Guinea-Bissau,2019,4.838103641
Samoa,2019,7.664548803
Senegal,2019,5.783856446
Brazil,2019,16.80494079
Ecuador,2018,8.284075833
Finland,2019,56.26100186
Venezuela (Bolivarian Republic of),2019,20.54934887
Maldives,2019,5.31426936
Uruguay,2019,50.88292056
Myanmar,2019,18.82173754
Solomon Islands,2018,15.34192763
Sudan,2019,3.736025226
Zimbabwe,2019,6.824504464
Libya,2019,13.73172926
Niger,2018,2.833969664
Palau,2019,51.67097399
South Africa,2019,15.32309509
Liberia,2019,3.650237743
Canada,2019,82.99338497
Saint Kitts and Nevis,2018,11.08081371
Romania,2018,59.84278065
Tuvalu,2017,21.7051175
Morocco,2018,14.23024511
Slovakia,2019,57.55891852
Tonga,2018,20.85514601
Afghanistan,2019,3.856519785
Colombia,2019,13.39490449
Rwanda,2019,3.719538166
Turkmenistan,2019,8.120152439
Argentina,2018,30.38898745
Chile,2019,22.25983561
Sri Lanka,2019,11.46913129
Nepal,2019,5.783573352
Palestine,2018,10.22313129
Burundi,2018,2.602520375
Morocco,2019,14.67907185
Slovenia,2019,67.25655725
Bangladesh,2019,6.06072737
Serbia,2018,87.67048348
Portugal,2019,43.93390291
Seychelles,2019,18.66025501
Burundi,2019,2.616864741
Philippines,2019,12.3300338
San Marino,2018,67.85651643
Thailand,2019,32.15626204
Mali,2019,2.715831855
Romania,2019,60.01278034
Chile,2018,21.73745976
Costa Rica,2019,10.65612843
United States of America,2019,77.69025902
Benin,2019,3.832564665
Bhutan,2019,5.647291725
Saint Kitts and Nevis,2019,12.77295127
Paraguay,2019,12.45560725
Somalia,2019,1.79344193
Uzbekistan,2019,8.227573621
Norway,2019,55.32411292
Vanuatu,2018,13.97975346
Zambia,2017,3.697478717
Mauritania,2019,5.311641427
Solomon Islands,2019,15.56530528
Oman,2018,3.244749853
Sao Tome and Principe,2017,8.822398943
Comoros,2018,4.868863267
Palestine,2019,10.561501
Cambodia,2019,17.39193532
Estonia,2019,54.95684966
Guatemala,2019,4.8799304
Serbia,2019,88.02736184
United Republic of Tanzania,2019,3.755928086
Burkina Faso,2018,3.866032565
Tonga,2019,21.11595333
Niger,2019,2.808177823
Senegal,2017,5.64196185
Djibouti,2018,4.956279016
Algeria,2019,7.62994844
Oman,2019,3.203735681
Japan,2019,91.39953357
Latvia,2019,53.15013513
Syrian Arab Republic,2019,9.468420815
Vanuatu,2019,14.20367681
Burkina Faso,2019,3.858387143
Qatar,2019,4.355419742
Cameroon,2018,5.327439521
Honduras,2019,14.01899287
Lao People's Democratic Republic,2019,13.59767861
Bahamas,2019,15.20568801
South Africa,2018,15.43559395
Saudi Arabia,2019,4.323552953
Cabo Verde,2018,12.41693579
Tunisia,2019,21.27550352
Germany,2018,74.34110289
Georgia,2019,48.67936073
Barbados,2019,16.07852417
Malaysia,2019,16.49973291
Mexico,2018,8.283881211
Kazakhstan,2019,20.82023724
Turkey,2019,36.2717188
Ethiopia,2019,2.013871626
Greece,2018,87.97975915
Saint Lucia,2019,15.10826521
Croatia,2019,80.75796181
Gambia,2019,3.070597526
Pakistan,2019,8.212541631
Kyrgyzstan,2019,8.702792608
Kenya,2019,2.351590763
Kiribati,2019,11.5054192
Iceland,2018,53.28377923
Ghana,2019,4.367193008
Saint Vincent and the Grenadines,2019,12.23476384
Czechia,2019,65.23018458
Nauru,2019,14.64970758
Guinea,2019,4.345054261
Marshall Islands,2019,17.64704951
Hungary,2019,98.29845921
New Zealand,2019,55.7113769
Malawi,2019,2.254852356
Sierra Leone,2019,4.355293385
Niue,2019,39.54490557
Venezuela (Bolivarian Republic of),2018,19.35702044
Micronesia (Federated States of),2019,21.34929715
Luxembourg,2019,51.43811766
Central African Republic,2019,5.366909001
Mauritius,2019,16.1760298
Togo,2019,4.952338463
Lesotho,2019,11.14911299
Russian Federation,2018,38.85362653
Malta,2019,47.8968973
China,2019,58.55956056
South Sudan,2019,3.428247189
Mozambique,2019,2.919860813
Congo,2019,7.900233654
Dominica,2018,21.86909783
Netherlands,2019,88.3352355
Namibia,2019,4.434544431
Iraq,2019,9.862828534
Democratic Republic of the Congo,2019,4.852271134
Jamaica,2019,20.45379915
Belgium,2019,75.97436816
India,2019,6.280202085
Jordan,2019,7.857648738
Cyprus,2019,39.13680938
Eswatini,2019,9.065498341
Kuwait,2019,5.09049763
El Salvador,2019,9.901745778
Nigeria,2019,2.740375515
Denmark,2019,84.98811134
